text, labels
"Aim- to prepare tin iodide and examine the reactivity by carrying out 3 different tests. Procedure- tin metal(1g) was transferred to a Quickfit round bottom flask and iodine(2.55g) was added. Toluene(10cm3) and anti-bumping granules were added as well. The flask was attached to a reflux condenser and then heated until the condensing solvent was clear. The solution was transferred to a conical flask, petroleum spirit 40-60 was added and then cooled in an ice bath for 5 minutes. The residual tin was left in the reaction flask, washed out with acetone, dried and then weighed (0.42g). The crystals in the conical flask were filtered off and washed with petroleum spirit 40-60 then weighed(1.9g). Tests- a spatula of the crystals was dissolved in water(20ml) Test 1- the solution (2ml) was transferred to a test tube and 0.1mL silver nitrate was added (5 drops) and shaken for 30 seconds. Test 2- in a fume cupboard the solution(2mL) was transferred to a test tube and the end of a hot copper wire was put in the solution, the wire was heated again by a Bunsen.", 0.85
"The aim of this experiment was to create SnI4 from the reaction between elemental tin and iodine and then to assess its properties by carrying out three tests. 1.0g of tin was added to a 100ml round bottom along with approximately 2.5g of iodine weighed accurately on a watch glass, which should then be added to the flask with a powder funnel. 10cm3 of toluene should be added to the flask along with some anti-bumping granules. The round bottom flask should then be heated under reflux with a heating mantle until the purple vapor turns clear and the solution has turned purple. The flask should then be removed from heat once the solvent stopped condensing the solution should be decanted into a 100ml flask, leaving unreacted tin which should be washed in acetone then dried on a watch glass and weighed. 10cm3 of petroleum spirit 40/60 should be added to the reaction flask and then left to cool to room temperature. Orange crystals should begin to form which once fully recrystallized should be separated from the solution using a Buchner funnel. A heaped microspatula of the crystal should be dissolved in 15ml of water and the pH should be checked. For the first test 2ml of the solution should be added to a test tube and 5 drops of 0.1m of silver nitrate should be added and the result observed and recorded For the second test 2ml of the solution should be added to a test tube and in a fume hood, a copper wire should be heated in a Bunsen until its red hot, placed in the test tube then placed back in the flame. The resulting colour in the flame should be recorded. For the third test 2ml of the solution should be added to another test tube along with 10 drops of 3% hydrogen peroxide and 2ml of petroleum ether and shaken for 30 seconds. The biphasic system that forms should be observed, and notes taken. The aim of this experiment was to create SnI4 from the reaction between elemental tin and iodine and then to assess its properties by carrying out three tests. 1.0g of tin was added to a 100ml round bottom along with approximately 2.5g of iodine weighed accurately on a watch glass, which should then be added to the flask with a powder funnel. 10cm3 of toluene should be added to the flask along with some anti-bumping granules. The round bottom flask should then be heated under reflux with a heating mantle until the purple vapor turns clear and the solution has turned purple. The flask should then be removed from heat once the solvent stopped condensing the solution should be decanted into a 100ml flask, leaving unreacted tin which should be washed in acetone then dried on a watch glass and weighed. 10cm3 of petroleum spirit 40/60 should be added to the reaction flask and then left to cool to room temperature. Orange crystals should begin to form which once fully recrystallized should be separated from the solution using a Buchner funnel. A heaped microspatula of the crystal should be dissolved in 15ml of water and the pH should be checked. For the first test 2ml of the solution should be added to a test tube and 5 drops of 0.1m of silver nitrate should be added and the result observed and recorded For the second test 2ml of the solution should be added to a test tube and in a fume hood, a copper wire should be heated in a Bunsen until its red hot, placed in the test tube then placed back in the flame. The resulting colour in the flame should be recorded.", 0.78
"The aim of this experiment was to facilitate a reaction between tin metal and iodine to produce and recrystallize tin (IV) iodide. In addition to this, three tests were performed to determine the reactions between various chemicals and a solution created from the addition of water to a sample of the recrystallized SnI4. 1.31g of tin metal, 2.52g of iodine, and 10ml of toluene were added to a 100ml Quickfit round bottom flask. This mixture was heated using a hot plate and a reflux condenser. The mixture was heated until the mixture changed from its original deep violet colour to orange, and its vapour turned clear. Once the reaction was completed the mixture was transferred to a conical beaker and 10ml of petroleum spirit 40/60 was added. The beaker was then placed on ice to allow for recrystallization of the SnI4. Once the crystals had formed and the solution was cool the crystals were filtered out using a Buchner funnel facilitated by petroleum spirit 40/60. From this point the tests were conducted using a solution of a micro spatula tip of SnI4 added to 20ml water that were thoroughly mixed. The first test consisted of 1-2ml of this solution being transferred to a test tube and then adding 4-5 drops of 0.1M silver nitrate, which was then shaken gently. The second test was conducted by placing a copper wire in the flame of a Bunsen Burner and noting the flame�s colour. Then the same copper wire was dipped into the SnI4 and water solution and placed back in the flame. The colour was once again noted. Finally, another 1-2ml of the solution were placed in a test tube and 10 drops of 3% hydrogen peroxide were added and the colour noted, then 2-3 ml of petroleum spirit 40/60 was added to the same test tube and the colour and biphasic separation was noted. All chemicals and solutions were disposed of in the appropriate containers. The aim of this experiment was to facilitate a reaction between tin metal and iodine to produce and recrystallize tin (IV) iodide. In addition to this, three tests were performed to determine the reactions between various chemicals and a solution created from the addition of water to a sample of the recrystallized SnI4. 1.31g of tin metal, 2.52g of iodine, and 10ml of toluene were added to a 100ml Quickfit round bottom flask. This mixture was heated using a hot plate and a reflux condenser. The mixture was heated until the mixture changed from its original deep violet colour to orange, and its vapour turned clear. Once the reaction was completed the mixture was transferred to a conical beaker and 10ml of petroleum spirit 40/60 was added. The beaker was then placed on ice to allow for recrystallization of the SnI4. Once the crystals had formed and the solution was cool the crystals were filtered out using a Buchner funnel facilitated by petroleum spirit 40/60. From this point the tests were conducted using a solution of a micro spatula tip of SnI4 added to 20ml water that were thoroughly mixed. The first test consisted of 1-2ml of this solution being transferred to a test tube and then adding 4-5 drops of 0.1M silver nitrate, which was then shaken gently. The second test was conducted by placing a copper wire in the flame of a Bunsen Burner and noting the flame�s colour. Then the same copper wire was dipped into the SnI4 and water solution and placed back in the flame. The colour was once again noted. Finally, another 1-2ml of the solution were placed in a test tube and 10 drops of 3% hydrogen peroxide were added and the colour noted, then 2-3 ml of petroleum spirit 40/60 was added to the same test tube and the colour and biphasic separation was noted.", 0.78
"The aim of this experiment was to prepare a sample of tin iodide from iodine and tin and to investigate its properties by performing three different tests on it. Tin metal (0.98g), iodine pellets (2.51g), toluene (10mL) and some anti-bumping granules were added to a round-bottom flask equipped for heating under reflux. The mixture was heated until the solution was orange and the condensing solvent was clear. The solution was allowed to cool until the solvent stopped condensing. The solution was transferred into a conical flask, ensuring that the residual tin metal remained in the round-bottom flask. Petroleum spirit 40/60 (10mL) was transferred to the conical flask and the solution was allowed to cool to room temperature to allow crystals to form, then placed in an ice bath for 5 minutes. The residual tin was washed with acetone and allowed to dry, after which it was weighed. The crystals were filtered and washed with petroleum spirit 40/60 (10mL) and the dried crystals were weighed. A heaped micro spatula of SnI4 was mixed with water (20mL) and the pH was tested using pH paper. Silver nitrate (five drops) and this solution (2mL) were added to a test tube and the reaction was observed. A copper wire, first heated in a Bunsen flame until it was red, was immersed in 2mL of the solution, then held back in the Bunsen flame. The flame colour was noted. Hydrogen peroxide (ten drops) was added to 2mL of the solution and gently shaken. Petroleum spirit 40/60 (2mL) was added and the resulting reaction was observed. The aim of this experiment was to prepare a sample of tin iodide from iodine and tin and to investigate its properties by performing three different tests on it. Tin metal (0.98g), iodine pellets (2.51g), toluene (10mL) and some anti-bumping granules were added to a round-bottom flask equipped for heating under reflux. The mixture was heated until the solution was orange and the condensing solvent was clear. The solution was allowed to cool until the solvent stopped condensing. The solution was transferred into a conical flask, ensuring that the residual tin metal remained in the round-bottom flask. Petroleum spirit 40/60 (10mL) was transferred to the conical flask and the solution was allowed to cool to room temperature to allow crystals to form, then placed in an ice bath for 5 minutes. The residual tin was washed with acetone and allowed to dry, after which it was weighed. The crystals were filtered and washed with petroleum spirit 40/60 (10mL) and the dried crystals were weighed.", 0.9
"The aim of this experiment was to synthesise tin (IV) iodide from tin metal and iodine solution and test the reactivity of the product through a series of tests to ensure the correct product had been synthesised.", 0.75
"The aim of this experiment was to produce a tin iodide species derived from its elements whilst isolating it. The reactivity of the final product was also determined by carrying out 3 chemical tests. Tin metal (1.0g) as well as iodine (2.5g) was suspended in toluene (10cm3) and was heated to reflux along with a reasonable number of anti-bumping granules. After the solution turns orange, the solution was cooled until the solution stopped condensing. The solution was decanted. Petroleum spirit 40/60 (10cm3) was added to the solution and it was cooled to room temperature. The dried tin metal was weighed (0.75g). The solution was placed in an ice bath until crystals formed. The product was then filtered and dried under suction to give an orange colored product, which was SnI4.  A heaped microspatula tip of SnI4 was dissolved in water (15-20 ml) and the pH of the mixture was determined (pH 2). 3 tests were performed to determine the reactivity of the product which are as follows: Test 1: 4 drops of silver nitrate (0.1 M) was added to the solution (2 mL) and was gently shaken. Test2: 2 mL of the solution was used in the Beilstein�s test. The colour of the flame was observed. Test3: 10 drops of hydrogen peroxide (3%) was added to the solution (2mL) and was gently shaken. 3mL of petrol was then added after followed by a gentle swirl which resulted in a biphasic layer.", 0.75
"The aim of the experiment was to prepare and isolate tin iodide by recrystallisation and then examine the resulting crystals by carrying out three separate chemical tests. Tin metal (1.0g) and iodine pellets (2.5g) were weighed separately and then added to one 100cm3 Quickfit conical flask. Toluene (10cm3) and 3 anti-bumping granules were then transferred to the conical flask. A reflux condenser was set up in which the water supply entered the bottom of the condenser and left at the top through rubber pipes. After the water supply had been turned on, heating commenced to 60% power of the heating mantle until the condensing solvent had gone from purple to colourless and the heating was turned off. The solution was left to cool and residual tin left in the reaction flask after the solution was decanted. Petroleum spirit (10cm3) was added to the solution. The dried tin metal was weighed and recorded. As the conical flask was left to cool, orange crystals were formed. They were then filtered, washed with cold petroleum spirit (10cm3) and weighed. A micro spatula tip of SnI4 and H2O (15-20mL) were reacted and shaken until all orange crystals weren�t visible. This solution was examined in the following three tests: Test 1: 0.1mol silver nitrate (4-5 drops) and the solution (1-2mL) were transferred to a test tube and shaken and observed. Test 2: The solution (1-2mL) was transferred to another test tube. Copper wire was heated until glowing red then immersed into the solution. The wire was heated again after it had been immersed and observed. Test 3: 3% H2O2 (10 drops) and the solution (1-2mL) were transferred to a third test tube and shaken for 30 seconds. Petrol (2-3mL) was then added and the resulting biphasic solution observed. The aim of the experiment was to prepare and isolate tin iodide by recrystallisation and then examine the resulting crystals by carrying out three separate chemical tests. Tin metal (1.0g) and iodine pellets (2.5g) were weighed separately and then added to one 100cm3 Quickfit conical flask. Toluene (10cm3) and 3 anti-bumping granules were then transferred to the conical flask. A reflux condenser was set up in which the water supply entered the bottom of the condenser and left at the top through rubber pipes. After the water supply had been turned on, heating commenced to 60% power of the heating mantle until the condensing solvent had gone from purple to colourless and the heating was turned off. The solution was left to cool and residual tin left in the reaction flask after the solution was decanted. Petroleum spirit (10cm3) was added to the solution. The dried tin metal was weighed and recorded. As the conical flask was left to cool, orange crystals were formed. They were then filtered, washed with cold petroleum spirit (10cm3) and weighed. A micro spatula tip of SnI4 and H2O (15-20mL) were reacted and shaken until all orange crystals weren�t visible. This solution was examined in the following three tests: Test 1: 0.1mol silver nitrate (4-5 drops) and the solution (1-2mL) were transferred to a test tube and shaken and observed. Test 2: The solution (1-2mL) was transferred to another test tube. Copper wire was heated until glowing red then immersed into the solution. The wire was heated again after it had been immersed and observed.", 0.48
"The aim of the experiment was to produce and isolate a sample of tin iodide from its elements and then investigate its chemical properties through a series of chemical tests. 1.03g of tin metal was weighed out and 2.5g of Iodine pellets were then added. This was followed by the addition of 10cm3 of toluene and 3 anti-bumping granules. The solution was heated under reflux at approximately 150oC and heating was continued until the purple vapour rising from the solution (and condensing) had become clear. The solution was then allowed to cool until the solvent was all condensed. The hot solution was poured into a 100cm3 conical flask, leaving the residual tin in the flask. 10cm3 of petroleum spirit 40/60 was added to the conical flask and the solution was left to cool to room temperature. The residual tin was washed in the reaction flask with acetone and then left to dry on a watch glass. One dried it was weighed and the mass recorded. The cooled flask was placed in an icebath for approximately 5minutes. The crystals were then filtered out using a Buchner funnel and the dry crystals were weighed. For the chemical tests, a heaped micro spatula of the crystals (SnI4) were dissolved in 15ml of water. The pH of the resulting solution was tested using pH paper. 2mL of the solution was transferred into 3 test tubes. To the first, 4-5 drops of 0.1M silver nitrate were then added and the mixture gently shaken for 30s. Any changes in the solution were noted. For the second test tube, a copper wire was heated in a Bunsen flame and immersed in the solution before being heated again. The change in flame colour was recorded.", 0.78
"The aim of the experiment is to prepare and isolate tin iodide compound from its elements (tin and iodine) and to examine the reactivity of tin iodide compound by performing a series of chemical test. As Sn2+ is easily oxidized to more stable Sn4+ ion and difficult to isolate, so focused only on compound SnI4. Sn + 2I2 = SnI4", 0.83
"The aim of this experiment is to prepare a tin iodide (SnI4) solution from its original elements and interpreting the reactivity of the isolated solution through numerous trials. A 100ml Quickfit round-bottom flask was connected with a plastic powder funnel and then 1g of tin and 2.5g of iodine pellets was transferred to the flask and mixed with 10cm3 of toluene and a few anti-bumping granules. A reflux condenser was attached, and the mixture was heated (60% power) until purple vapor formed and began to condense and the solution color changed from purple to orange. After condensation stopped, the liquid solution was transferred to a conical flask and the tin residue left behind to dry. The solution was then given a few minutes to cool to form the orange crystals. Next, using a Buchner Funnel, the crystals are filtered out and weighed. A sample of the orange crystals was mixed with water and the resulting solution was placed into three testing tubes. The first test conducted was adding a few drops of silver nitrate and then record the reactivity. The second experiment conducted was a Beinstein Flame test where a copper wire was soaked in the solution and placed over a flame to reveal a distinct color. The final test conducted was adding a few drops of hydrogen peroxide and 2-3mL of petroleum to observe the changes that occur.", 0.53
